facility_id,facility_name,address,city,state,zip_code,county_name,phone_number,payment_measure_id,payment_measure_name,payment_category,denominator,payment,lower_estimate,higher_estimate,payment_footnote,value_of_care_display_id,value_of_care_display_name,value_of_care_category,value_of_care_footnote,start_date,end_date
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,53,"$25,911","$22,707","$29,475",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,PAYM_30_HF,Payment for heart failure patients,No Different Than the National Average Payment,110,"$18,743","$16,915","$20,741",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,PAYM_30_PN,Payment for pneumonia patients,No Different Than the National Average Payment,108,"$19,426","$17,450","$21,387",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Not Available,1,04/01/2017,10/02/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,404,"$26,967","$25,182","$28,725",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,1365,"$20,126","$19,427","$20,844",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Better Mortality and Higher Payment,,07/01/2017,12/01/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,PAYM_30_PN,Payment for pneumonia patients,Greater Than the National Average Payment,1422,"$20,029","$19,365","$20,724",,MORT_PAYM_30_PN,Value of Care Pneumonia measure,Better Mortality and Higher Payment,,07/01/2017,12/01/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,PAYM_90_HIP_KNEE,Payment for hip/knee replacement patients,Greater Than the National Average Payment,1330,"$21,353","$20,902","$21,827",,COMP_PAYM_90_HIP_KNEE,Value of Care hip/knee replacement,Average Complications and Higher Payment,,04/01/2017,10/02/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,PAYM_30_AMI,Payment for heart attack patients,No Different Than the National Average Payment,76,"$28,459","$25,287","$31,859",,MORT_PAYM_30_AMI,Value of Care Heart Attack measure,Average Mortality and Average Payment,,07/01/2017,12/01/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,PAYM_30_HF,Payment for heart failure patients,Greater Than the National Average Payment,186,"$20,061","$18,427","$21,783",,MORT_PAYM_30_HF,Value of Care Heart Failure measur,Average Mortality and Higher Payment,,07/01/2017,12/01/2019
