facility_id,facility_name,address,city,state,zip_code,county_name,phone_number,hcahps_measure_id,hcahps_question,hcahps_answer_description,patient_survey_star_rating,patient_survey_star_rating_footnote,hcahps_answer_percent,hcahps_answer_percent_footnote,hcahps_linear_mean_value,number_of_completed_surveys,number_of_completed_surveys_footnote,survey_response_rate_percent,survey_response_rate_percent_footnote,start_date,end_date
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,H_COMP_1_A_P,"Patients who reported that their nurses ""Always"" communicated well","Nurses ""always"" communicated well",Not Applicable,,60,,Not Applicable,1050,,20,,07/01/2020,03/31/2021
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,H_COMP_1_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" communicated well","Nurses ""sometimes"" or ""never"" communicated well",Not Applicable,,18,,Not Applicable,1050,,20,,07/01/2020,03/31/2021
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,H_COMP_1_U_P,"Patients who reported that their nurses ""Usually"" communicated well","Nurses ""usually"" communicated well",Not Applicable,,22,,Not Applicable,1050,,20,,07/01/2020,03/31/2021
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,H_COMP_1_LINEAR_SCORE,Nurse communication - linear mean score,Nurse communication - linear mean score,Not Applicable,,Not Applicable,,80,1050,,20,,07/01/2020,03/31/2021
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,H_COMP_1_STAR_RATING,Nurse communication - star rating,Nurse communication - star rating,1,,Not Applicable,,Not Applicable,1050,,20,,07/01/2020,03/31/2021
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,H_NURSE_RESPECT_A_P,"Patients who reported that their nurses ""Always"" treated them with courtesy and respect","Nurses ""always"" treated them with courtesy and  respect",Not Applicable,,67,,Not Applicable,1050,,20,,07/01/2020,03/31/2021
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,H_NURSE_RESPECT_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never""  treated them with courtesy and respect","Nurses ""sometimes"" or ""never"" treated them with courtesy and  respect",Not Applicable,,15,,Not Applicable,1050,,20,,07/01/2020,03/31/2021
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,H_NURSE_RESPECT_U_P,"Patients who reported that their nurses ""Usually""  treated them with courtesy and respect","Nurses ""usually""  treated them with courtesy and  respect",Not Applicable,,18,,Not Applicable,1050,,20,,07/01/2020,03/31/2021
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,H_NURSE_LISTEN_A_P,"Patients who reported that their nurses ""Always"" listened carefully to them","Nurses ""always"" listened carefully",Not Applicable,,58,,Not Applicable,1050,,20,,07/01/2020,03/31/2021
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,H_NURSE_LISTEN_SN_P,"Patients who reported that their nurses ""Sometimes"" or ""Never"" listened carefully to them","Nurses ""sometimes"" or ""never"" listened carefully",Not Applicable,,19,,Not Applicable,1050,,20,,07/01/2020,03/31/2021
