facility_id,facility_name,address,city,state,zip_code,county_name,phone_number,measure_id,measure_name,compared_to_national,denominator,score,lower_estimate,higher_estimate,footnote,start_date,end_date
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,COMP_HIP_KNEE,Rate of complications for hip/knee replacement patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,1,04/01/2017,10/02/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,MORT_30_AMI,Death rate for heart attack patients,No Different Than the National Rate,53,12.6,9.9,16.0,,07/01/2017,12/01/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,MORT_30_CABG,Death rate for CABG surgery patients,Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2017,12/01/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,MORT_30_COPD,Death rate for COPD patients,No Different Than the National Rate,68,8.8,6.2,12.4,,07/01/2017,12/01/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,MORT_30_HF,Death rate for heart failure patients,No Different Than the National Rate,117,11.6,8.5,15.5,,07/01/2017,12/01/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,MORT_30_PN,Death rate for pneumonia patients,No Different Than the National Rate,110,19,14.8,23.6,,07/01/2017,12/01/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,MORT_30_STK,Death rate for stroke patients,Worse Than the National Rate,85,17.7,13.6,22.7,,07/01/2017,12/01/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,PSI_03,Pressure ulcer rate,Worse Than the National Rate,2784,1.67,0.85,2.49,,07/01/2018,12/31/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,PSI_04,Death rate among surgical inpatients with serious treatable complications,No Different Than the National Rate,29,189.28,139.47,239.08,,07/01/2018,12/31/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,PSI_06,Iatrogenic pneumothorax rate,No Different Than the National Rate,4224,0.21,0.03,0.39,,07/01/2018,12/31/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,PSI_08,In-hospital fall with hip fracture rate,No Different Than the National Rate,3105,0.09,0.02,0.16,,07/01/2018,12/31/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,PSI_09,Perioperative hemorrhage or hematoma rate,No Different Than the National Rate,434,2.58,1.04,4.11,,07/01/2018,12/31/2019
