facility_id,facility_name,address,city,state,zip_code,county_name,phone_number,measure_id,measure_name,score,footnote,start_date,end_date
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,OP-10,Abdomen CT Use of Contrast Material,3.8,,07/01/2019,12/31/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,1,07/01/2019,12/31/2019
330027,NASSAU UNIVERSITY MEDICAL CENTER,2201 HEMPSTEAD TURNPIKE,EAST MEADOW,NY,11554,NASSAU,(516) 572-0123,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,7,07/01/2019,12/31/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,OP-10,Abdomen CT Use of Contrast Material,1,,07/01/2019,12/31/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,6.1,,07/01/2019,12/31/2019
330106,NORTH SHORE UNIVERSITY HOSPITAL,300 COMMUNITY DRIVE,MANHASSET,NY,11030,NASSAU,(516) 562-0100,OP-8,MRI Lumbar Spine for Low Back Pain,38.5,,07/01/2019,12/31/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,OP-10,Abdomen CT Use of Contrast Material,0.7,,07/01/2019,12/31/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,OP-13,Outpatients who got cardiac imaging stress tests before low-risk outpatient surgery,Not Available,1,07/01/2019,12/31/2019
330181,NORTHWELL HOSPITAL GLEN COVE,101 ST ANDREWS LANE,GLEN COVE,NY,11542,NASSAU,(516) 674-7300,OP-8,MRI Lumbar Spine for Low Back Pain,Not Available,1,07/01/2019,12/31/2019
330182,ST FRANCIS HOSPITAL - THE HEART CENTER,100 PORT WASHINGTON BOULEVARD,ROSLYN,NY,11576,NASSAU,(516) 562-6000,OP-10,Abdomen CT Use of Contrast Material,2.4,,07/01/2019,12/31/2019
